[1123/150801.931:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1124/105937.218:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1124/124552.891:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1124/130436.159:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1128/141516.055:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1129/144142.149:WARNING:value_store_frontend.cc(47)] Reading mhjfbmdgcfjbbpaeojofohoefgiehjai.alarms from  failed: IO error: .../LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
[1129/144340.272:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1130/135824.204:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1130/200451.543:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1201/101303.227:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1203/194732.011:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1204/103609.999:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1206/103415.709:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1206/230516.309:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1207/121821.372:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1208/111645.186:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1210/110525.595:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1211/133642.938:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[1212/114502.534:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
